commit_hash,message,is_bug_fix,category,reasoning
bd2072f8d025e7a37d527b23b84698460c5798bf,"globals: Don't export DllMain on Windows

This shouldn't be done and lld 21 warns about it:

https://github.com/msys2/MINGW-packages/issues/17820
https://github.com/msys2/MINGW-packages/issues/25716

Regressed with f05af837.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
a30a276412b34dd39c70d9dd0459d42495b965ac,"valid: Undeprecate xmlValidGetPotentialChildren

Fixes #988.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
c537ccf0aea640e625abce653d5890afc934b340,"Fixed compilation error on GCC versions prior to 4.5

The deprecated attribute started accepting an optional string argument
in GCC version 4.5. Compiling libxml2 with GCC versions prior to that
would cause compilation errors such as:
```
./include/libxml/xmlmemory.h:134: error: wrong number of arguments specified for 'deprecated' attribute
```

Now the string argument is omitted for older versions of GCC.

Signed-off-by: Lars Erik Wik <lars.erik.wik@northern.tech>
",False,Build/CI/Tests,Tier 3 match: topic 'compilation'
da45a190f718e8e2f0e3d2a6325ffa23abc8b90c,"parser: Fix attribute normalization and standalone check

Regressed with e4cbc295.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
dc307e31fd1343934a66fabe3ba4b42f34ac63c0,"meson: Fix install dir of man pages

Regressed when reworking documentation in 2.15.

Fixes #985.
",False,Build/CI/Tests,Tier 3 match: topic 'meson'
48df82f6ea004fa8fdd0587e458d66d0bf509e7c,"Bump version to 2.16.0
",False,Non-Maintenance,Tier 3 match: topic 'bump'
0bea77c8289324483c0504d36ac730bb03f6a70b,"Release v2.15.0
",False,Non-Maintenance,Tier 3 match: topic 'release'
b9943bcaa35e3ebbd92b0d9374840e6e1c9a6935,"Remove legacy win32 build system
",False,Build/CI/Tests,Tier 3 match: topic 'build'
347147b5558c964e66c0e247e2aa770a3b8d8438,"Update NEWS
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
1763281cd65ded4067ddf123eb7358690c214b0b,"Remove LZMA support
",False,Non-Maintenance,Tier 3 match: topic 'remove'
063add1b298450637fd7a0fbd2f515b10e71d00d,"parser: Always require XML_PARSE_UNZIP to enable decompression
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
8c107b690bde35010c8984cf85541924f25f0306,"Revert ""dict: Rework reference counting""

This reverts commit 18bbdb51175f309aef40fa5254af34e322be7783 due to lack
of feedback.
",False,Non-Maintenance,Tier 3 match: topic 'revert'
13962f820ebd37b93700252a5b7dcec1acbf62f6,"valid: Fix null deref in xmlValidateOneAttribute

Short-lived regression from d53ba058.
",True,Memory,Tier 1 match: 'null deref'
e397651a6221d95b4fde94b37c4cdfff0e23c1ac,"cmake: Omit version number from cmake install dir

Align with other build systems. Fixes #973.
",False,Build/CI/Tests,Tier 3 match: topic 'build'
d53ba0588ef03c910d8956cbfec8a640e528059d,"valid: Don't add ids when validating entity content

The id table shouldn't reference ids in entities. The id will be created
when expanding the entity.

Probably regressed with d025cfbb.

Note that we still register ids in entities if entities are not
replaced. This is required to make IDREF checks work.

Fixes #974.
",False,Feature/Enhancement,Tier 3 match: topic 'add'
56199b5c08f32968363510a455a4cc67b6773b5b,"catalog: Prepare to make SGML catalog support optional
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
e2fdef4510bd230d301b9963ed54a96aabd0c01d,"tests: Update testapi.c
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
591f19ebe79ae6ecb6edeff7e20114b9f94c9744,"catalog: Deprecate low-level internal functions
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
5bd6b44d139758652a259ee8cead6d8c61692fe3,"Fix initGenericErrorDefaultFunc(NULL)

Calling initGenericErrorDefaultFunc(NULL) currently yields to

/usr/include/libxml2/libxml/xmlerror.h:23:45: error: invalid use of void expression
   23 |     xmlSetGenericErrorFunc(NULL, (h) ? *(h) : NULL)

Indeed, even if h is nul, the compiler will try to give a type to *(h),
which can't work.
",True,Error Handling,Tier 2 match: fix keyword + priority topic 'xmlerror'
